,0,1,normalized
12,cmnott,June 2002,"[u'hey', u'blueguy', u'wrond', u'ford', u'tranny', u'know', u'fwd', u'type', u'gearbox', u'torque', u'twist', u'car', u'need', u'strong', u'tranny', u'honesty', u'clutch', u'incredibly', u'easy', u'modulate', u'hevay', u'purpose', u'never', u'miss', u'gear', u'either', u'ca', u'say', u'audi', u'jagboyxkr', u'know', u'jaguar', u'right', u'end', u'car', u'bottom', u'line', u'difference', u'way', u'package', u'options', u'ridiculous', u'need', u'split', u'fold', u'seat', u'bundle', u'package', u'xenons', u'twice', u'asmuch', u'car', u'sunroof', u'another', u'unbeleivable', u'lease', u'rate', u'low', u'help', u'make', u'care', u'anybody', u'say', u'jaguar', u'never', u'drive', u'imo', u'better', u'overall', u'car', u'audi', u'canada', u'awd', u'recommend', u'car', u'get', u'slaughter', u'high', u'price', u'car', u'price', u'equal', u'leader', u'class', u'price', u'best', u'car', u'segment', u'suicide', u'hot', u'break', u'nicely', u'miles', u'everything', u'expect', u'expect', u'sheer', u'power', u'thing', u'think', u'would', u'beat', u'ford', u'speed', u'roll', u'start', u'question', u'would', u'even', u'say']"
13,blueguydotcom,June 2002,"[u'hey', u'never', u'drive', u'wheeler', u'maybe', u'ford', u'tranny', u'like', u'one', u'imagine', u'big', u'rig', u'tranny', u'feel']"
14,cybersol,June 2002,"[u'thank', u'comparison', u'post', u'informative', u'congratulations', u'volvo']"
15,phatratpak,June 2002,"[u'want', u'manual', u'tranny', u'like', u'eat', u'sandwich', u'phone', u'roll', u'windows', u'sunroof', u'time', u'drive', u'use', u'new', u'love', u'bimmers', u'audi', u'great', u'car', u'bottom', u'line', u'sticker', u'make', u'chrysler', u'go', u'acura', u'steptronic', u'car', u'absolute', u'joy', u'go', u'far', u'complaints', u'extremely', u'satisified', u'decision']"
16,blueguydotcom,June 2002,"[u'manual', u'eat', u'drink', u'talk', u'windowing', u'lol', u'sunroofing', u'manual', u'actually', u'never', u'own', u'automatic', u'problems', u'carry', u'several', u'task', u'like', u'walk', u'talk']"
17,wishnhigh1,June 2002,"[u'sound', u'like', u'get', u'right', u'car']"
18,phatratpak,June 2002,"[u'guess', u'guy', u'become', u'experience', u'manuals', u'feel', u'fun', u'someday', u'rich', u'famous', u'lol', u'hope', u'manual', u'porsche', u'something', u'like', u'sequential', u'shifter', u'give', u'chrysler', u'enough', u'performance']"
19,eaweg,June 2002,"[u'stone', u'cast', u'one', u'another', u'would', u'like', u'remind', u'everyone', u'opinion', u'respect', u'opinion', u'jag', u'audi', u'although', u'strongly', u'disagree', u'guess', u'owner', u'would', u'personally', u'find', u'jag', u'jaguar', u'worst', u'car', u'ever', u'test', u'drive', u'first', u'audi', u'second', u'well', u'ford', u'felt', u'like', u'ford', u'handle', u'way', u'compare', u'interior', u'might', u'look', u'little', u'better', u'certainly', u'feel', u'better', u'performance', u'little', u'dissapointed', u'th', u'think', u'could', u'use', u'hp', u'engine', u'solve', u'problems', u'however', u'still', u'fun', u'engine', u'especially', u'highway', u'speed', u'honetsly', u'felt', u'mondeo', u'excuse', u'chrysler', u'jaguar', u'go', u'fall', u'apart', u'test', u'drive', u'know', u'audi', u'problems', u'even', u'close', u'comparison', u'negative', u'headline', u'jaguar', u'oh', u'well', u'enjoy']"
20,jagboyxtype,June 2002,"[u'come', u'different', u'conclusion', u'jaguar', u'jaguar', u'audi', u'audi', u'audi', u'consider', u'vehicles', u'close', u'jaguar', u'acceleration', u'time', u'jaguar', u'clearly', u'faster', u'audi', u'car', u'driver', u'state', u'jaguar', u'subjectively', u'jaguar', u'feel', u'quite', u'quick', u'bmw', u'instrument', u'acceleration', u'run', u'reveal', u'measure', u'time', u'second', u'second', u'slower', u'small', u'bmw', u'would', u'rate', u'smoothness', u'jaguar', u'similarly', u'close', u'bavarian', u'six', u'road', u'track', u'say', u'jaguar', u'performance', u'acceleration', u'jaguar', u'among', u'quickest', u'accompany', u'exhaust', u'note', u'jag', u'go', u'mph', u'second', u'undercut', u'lexus', u'audi', u'audi', u'mercedes', u'sec', u'match', u'bmw', u'time', u'jaguar', u'acceleration', u'time', u'audi', u'audi', u'acceleration', u'time', u'manual', u'car', u'handle', u'r', u'say', u'jaguar', u'whether', u'chassis', u'redolent', u'jaguar', u'tradition', u'one', u'complain', u'work', u'feel', u'like', u'modern', u'sport', u'sedan', u'excellent', u'highway', u'ride', u'good', u'balance', u'corner', u'every', u'time', u'get', u'long', u'stretch', u'fast', u'curve', u'mountain', u'road', u'whoever', u'jag', u'inevitably', u'get', u'walkietalkies', u'carry', u'say', u'thing', u'really', u'good', u'curve', u'car', u'good', u'grip', u'linear', u'steer', u'precise', u'engine', u'bad', u'either', u'test', u'car', u'optional', u'less', u'expensive', u'version', u'well', u'put', u'respectable', u'bhp', u'keep', u'fast', u'company', u'particular', u'effort', u'also', u'say', u'suspension', u'jaguar', u'engineer', u'tell', u'us', u'want', u'suspension', u'relax', u'seem', u'wrap', u'nicely', u'ride', u'smooth', u'find', u'class', u'even', u'sport', u'suspension', u'give', u'soft', u'ride', u'jaguar', u'deliver', u'surprisingly', u'good', u'handle', u'audi', u'handle', u'say', u'dynamically', u'car', u'crisp', u'look', u'handle', u'well', u'enough', u'superb', u'highway', u'ride', u'accomplish', u'goals', u'rather', u'soft', u'rubbery', u'style', u'suspension', u'tune', u'steer', u'short', u'audi', u'miss', u'firm', u'ford', u'sense', u'steer', u'precision', u'make', u'bmw', u'instance', u'delightful', u'drive', u'car', u'keep', u'sport', u'sedan', u'feel', u'sporty', u'despite', u'car', u'optional', u'sport', u'suspension', u'notice', u'curve', u'desert', u'highway', u'audi', u'produce', u'excitement', u'one', u'driver', u'put', u'simply', u'floaty', u'loose', u'others', u'pay', u'great', u'highway', u'ride', u'one', u'driver', u'note', u'dohc', u'aluminum', u'smooth', u'reasonably', u'peppy', u'though', u'well', u'back', u'front', u'pack', u'steer', u'motor', u'trend', u'say', u'jaguar', u'zf', u'servotronic', u'ii', u'steer', u'system', u'car', u'best', u'system', u'may', u'power', u'steer', u'fact', u'match', u'previously', u'unrivaled', u'precision', u'serve', u'bmw', u'series', u'car', u'placement', u'feel', u'precise', u'excellent', u'feedback', u'road', u'feel', u'complete', u'confidence', u'toyota', u'drive', u'time', u'fingertips', u'even', u'mph', u'track', u'car', u'ever', u'drive', u'offer', u'similar', u'level', u'steer', u'communication', u'nissan', u'skyline', u'nissan', u'pretty', u'racy', u'piece', u'audi', u'steer', u'criticize', u'car', u'driver', u'road', u'track', u'rubbery', u'feel', u'c', u'say', u'steer', u'wheel', u'vibrate', u'peak', u'engine', u'rev', u'car', u'driver', u'also', u'say', u'steer', u'system', u'jaguar', u'nothing', u'short', u'terrific', u'call', u'enthusiast', u'goods', u'even', u'take', u'note', u'steer', u'system', u'x', u'jaguar', u'engineer', u'boast', u'best', u'steer', u'system', u'ever', u'model', u'agree', u'audi', u'know', u'audi', u'awd', u'system', u'develped', u'years', u'audi', u'iv', u'newest', u'version', u'use', u'audi', u'divide', u'power', u'front', u'rear', u'wheel', u'unless', u'slip', u'detect', u'know', u'one', u'best', u'systems', u'available', u'torque', u'steer', u'say', u'minor', u'say', u'work', u'well', u'even', u'turbocharged', u'versions', u'audi', u'although', u'note', u'feel', u'heavy', u'without', u'larger', u'audi', u'also', u'use', u'audi', u'prove', u'awd', u'certain', u'race', u'condition', u'could', u'better', u'setups', u'later', u'ban', u'use', u'awd', u'car', u'certain', u'race', u'use', u'new', u'awd', u'system', u'design', u'call', u'traction', u'divide', u'torque', u'front', u'wheel', u'rear', u'unless', u'slip', u'detect', u'along', u'specially', u'design', u'roller', u'bear', u'fit', u'top', u'front', u'strut', u'tower', u'body', u'along', u'advance', u'steer', u'mechanism', u'give', u'performance', u'feel', u'rwd', u'car', u'unlike', u'awd', u'systems', u'car', u'driver', u'say', u'traction', u'produce', u'torque', u'steer', u'interphere', u'purity', u'state', u'jaguar', u'awd', u'jaguar', u'get', u'seemless', u'virtually', u'transparent', u'new', u'viscous', u'couple', u'system', u'optional', u'dynamic', u'stability', u'control', u'rival', u'audi', u'vaunt', u'audi', u'weather', u'grip', u'road', u'track', u'say', u'jag', u'better', u'balance', u'understeer', u'take', u'something', u'set', u'pull', u'safe', u'secure', u'feel', u'signal', u'happen', u'give', u'plenty', u'time', u'adjust', u'brake', u'jaguar', u'feature', u'vent', u'front', u'solid', u'rear', u'discs', u'find', u'larger', u'track', u'say', u'brake', u'test', u'jaguar', u'impressive', u'easily', u'repeatable', u'stop', u'distance', u'mph', u'mph', u'another', u'one', u'article', u'say', u'brake', u'distance', u'turn', u'jaguar', u'exceptional', u'comparable', u'top', u'sport', u'car', u'car', u'driver', u'also', u'say', u'lap', u'castle', u'combe', u'racetrack', u'allow', u'us', u'explore', u'outer', u'reach', u'jaguar', u'handle', u'prove', u'completely', u'benign', u'thank', u'even', u'limit', u'understeer', u'never', u'grind', u'front', u'tire', u'excessively', u'way', u'get', u'tail', u'flick', u'steer', u'wheel', u'simultaneously', u'lift', u'throttle', u'disc', u'brake', u'prove', u'linear', u'powerful', u'repeat', u'heavy', u'track', u'use', u'comparison', u'bmw', u'stop', u'mph', u'feet', u'jag', u'porsche', u'stop', u'two', u'feet', u'shorter', u'jag', u'feet', u'mercedes']"
21,jagboyxtype,June 2002,"[u'jaguar', u'brake', u'distance', u'mph', u'audi', u'audi', u'brake', u'distance', u'mph', u'statements', u'become', u'subjective', u'anything', u'say', u'quote', u'others', u'audi', u'jaguar', u'offer', u'excellent', u'interiors', u'jaguar', u'go', u'british', u'cabin', u'family', u'members', u'also', u'display', u'utilize', u'massive', u'amount', u'wood', u'conolly', u'leather', u'bits', u'chrome', u'audi', u'german', u'functional', u'design', u'still', u'invite', u'clean', u'line', u'detail', u'really', u'like', u'interiors', u'car', u'jaguar', u'best', u'leather', u'wood', u'things', u'like', u'plastic', u'audi', u'air', u'vent', u'seem', u'resilient', u'track', u'say', u'despite', u'price', u'jaguar', u'sport', u'traditional', u'jaguar', u'upscale', u'cabin', u'simple', u'round', u'gauge', u'green', u'back', u'instrument', u'face', u'maple', u'trim', u'scatter', u'around', u'cockpit', u'seat', u'tasteful', u'comfortable', u'jag', u'interior', u'rich', u'assemblage', u'shape', u'textures', u'do', u'nice', u'detail', u'like', u'gauge', u'say', u'may', u'level', u'model', u'would', u'know', u'judge', u'leather', u'wood', u'easy', u'use', u'nav', u'system', u'motor', u'trend', u'say', u'jaguar', u'great', u'style', u'inside', u'say', u'specifically', u'interior', u'soothe', u'luxurious', u'reasonably', u'sound', u'ergonomic', u'standpoint', u'main', u'instrument', u'nicely', u'detail', u'easily', u'readable', u'steer', u'wheel', u'hvac', u'control', u'house', u'centrally', u'mount', u'binnacle', u'allow', u'lot', u'genuine', u'maple', u'veneer', u'span', u'entire', u'dash', u'pure', u'jag', u'inside', u'car', u'driver', u'say', u'expect', u'interior', u'line', u'sumptuous', u'connolly', u'leather', u'maple', u'wood', u'trim', u'dashboard', u'doors', u'luxury', u'amenities', u'abound', u'well', u'expect', u'front', u'side', u'head', u'airbags', u'level', u'finish', u'nice', u'neat', u'stitiching', u'close', u'fit', u'excellent', u'materials', u'throughout', u'opinion', u'audi', u'jaguar', u'great', u'car', u'jaguar', u'offer', u'expensive', u'audi', u'expensive', u'reason', u'know', u'outhandle', u'audi', u'outperform', u'acceleration', u'brake', u'rigid', u'chassis', u'class', u'previous', u'class', u'leader', u'awd', u'also', u'standard', u'well', u'connolly', u'leather', u'wood', u'must', u'bad', u'test', u'car', u'felt', u'like', u'go', u'fall', u'apart', u'everything', u'read', u'experience', u'jaguar', u'say', u'solid', u'materials', u'throughout', u'like', u'say']"
22,blueguydotcom,June 2002,"[u'lease', u'jaguar', u'next', u'nothing', u'high', u'incentives']"
23,eaweg,June 2002,"[u'thank', u'response', u'read', u'magazines', u'love', u'automobile', u'literature', u'sametime', u'come', u'realize', u'much', u'bias', u'opinion', u'maybe', u'payoffs', u'anyhow', u'would', u'agree', u'far', u'statistics', u'come', u'back', u'point', u'jag', u'lead', u'number', u'well', u'bmw', u'really', u'interest', u'jaguar', u'whenit', u'come', u'look', u'quite', u'beautiful', u'howerver', u'test', u'drive', u'one', u'two', u'opinion', u'felt', u'like', u'fast', u'wheelbarrow', u'think', u'would', u'agree', u'come', u'personal', u'preferance', u'right', u'jaguar', u'bmw', u'test', u'like', u'quite', u'bite', u'tough', u'decision', u'honest', u'say', u'chrysler', u'well', u'excellent', u'lease', u'deal', u'lease', u'audi', u'much', u'better', u'jaguar', u'well', u'think', u'would', u'also', u'agree', u'everyone', u'go', u'get', u'car', u'lot', u'even', u'though', u'every', u'car', u'go', u'minor', u'unfortunately', u'major', u'problems', u'fortunately', u'chrysler', u'hopefully', u'none', u'concern', u'chrysler', u'article', u'read', u'autoweek', u'quality', u'problems', u'bedevil', u'jaguar', u'jaguar', u'two', u'drivetrain', u'issue', u'cite', u'jaguar', u'car', u'risk', u'alienate', u'newest', u'group', u'owners', u'many', u'complain', u'new', u'jaguar', u'sedan', u'array', u'irritate', u'quality', u'snafu', u'none', u'problems', u'directly', u'affect', u'safety', u'operation', u'sufficient', u'annoyance', u'jaguar', u'buyers', u'say', u'ready', u'bolt', u'franchise', u'two', u'separate', u'drivetrain', u'problems', u'deceleration', u'mph', u'whine', u'come', u'differential', u'unit', u'problem', u'widespread', u'jaguar', u'issue', u'technical', u'service', u'bulletin', u'dealers', u'fix', u'add', u'mass', u'bracket', u'cold', u'weather', u'noise', u'another', u'matter', u'occur', u'anywhere', u'mph', u'mph', u'owners', u'go', u'away', u'quickly', u'others', u'sound', u'ring', u'minutes', u'time', u'problem', u'bothersome', u'owners', u'jaguar', u'car', u'officially', u'acknowledge', u'exist', u'owners', u'say', u'several', u'replace', u'warranty', u'one', u'american', u'owner', u'say', u'sixth', u'steven', u'miller', u'attorney', u'long', u'beach', u'suffer', u'drivetrain', u'problems', u'say', u'love', u'jaguar', u'miller', u'frustrate', u'dealer', u'inability', u'repair', u'problems', u'despite', u'three', u'visit', u'service', u'bay', u'make', u'tape', u'record', u'noise', u'miller', u'say', u'attempt', u'fix', u'put', u'sort', u'additive', u'system', u'quiet', u'noise', u'several', u'days', u'come', u'back', u'turn', u'chrysler', u'away', u'article', u'come', u'hear', u'hope', u'happen', u'guy', u'thank', u'friendly', u'chat']"
24,eaweg,June 2002,"[u'thank', u'response', u'read', u'magazines', u'love', u'automobile', u'literature', u'time', u'come', u'realize', u'much', u'bias', u'opinion', u'maybe', u'payoffs', u'anyhow', u'would', u'agree', u'far', u'statistics', u'come', u'back', u'point', u'jag', u'lead', u'number', u'well', u'bmw', u'really', u'interest', u'jaguar', u'come', u'look', u'quite', u'beautiful', u'however', u'test', u'drive', u'one', u'two', u'opinion', u'felt', u'like', u'fast', u'wheelbarrow', u'think', u'would', u'agree', u'come', u'personal', u'preferance', u'right', u'jaguar', u'bmw', u'test', u'like', u'quite', u'bite', u'tough', u'decision', u'honest', u'say', u'chrysler', u'well', u'excellent', u'lease', u'deal', u'lease', u'audi', u'much', u'better', u'jaguar', u'well', u'think', u'would', u'also', u'agree', u'everyone', u'go', u'get', u'car', u'lot', u'even', u'though', u'every', u'car', u'go', u'minor', u'unfortunately', u'major', u'problems', u'fortunately', u'chrysler', u'hopefully', u'none', u'concern', u'chrysler', u'article', u'read', u'autoweek', u'quality', u'problems', u'bedevil', u'jaguar', u'jaguar', u'two', u'drivetrain', u'issue', u'cite', u'jaguar', u'car', u'risk', u'alienate', u'newest', u'group', u'owners', u'many', u'complain', u'new', u'jaguar', u'sedan', u'array', u'irritate', u'quality', u'snafu', u'none', u'problems', u'directly', u'affect', u'safety', u'operation', u'sufficient', u'annoyance', u'jaguar', u'buyers', u'say', u'ready', u'bolt', u'franchise', u'two', u'separate', u'drivetrain', u'problems', u'deceleration', u'mph', u'whine', u'come', u'differential', u'unit', u'problem', u'widespread', u'jaguar', u'issue', u'technical', u'service', u'bulletin', u'dealers', u'fix', u'add', u'mass', u'bracket', u'cold', u'weather', u'noise', u'another', u'matter', u'occur', u'anywhere', u'mph', u'mph', u'owners', u'go', u'away', u'quickly', u'others', u'sound', u'ring', u'minutes', u'time', u'problem', u'bothersome', u'owners', u'jaguar', u'car', u'officially', u'acknowledge', u'exist', u'owners', u'say', u'several', u'replace', u'warranty', u'one', u'american', u'owner', u'say', u'sixth', u'steven', u'miller', u'attorney', u'long', u'beach', u'suffer', u'drivetrain', u'problems', u'say', u'love', u'jaguar', u'miller', u'frustrate', u'dealer', u'inability', u'repair', u'problems', u'despite', u'three', u'visit', u'service', u'bay', u'make', u'tape', u'record', u'noise', u'miller', u'say', u'attempt', u'fix', u'put', u'sort', u'additive', u'system', u'quiet', u'noise', u'several', u'days', u'come', u'back', u'turn', u'chrysler', u'away', u'article', u'come', u'hear', u'hope', u'happen', u'guy', u'thank', u'friendly', u'chat']"
25,cmnott,June 2002,"[u'congrats', u'audi', u'look', u'question', u'quite', u'gracious', u'comment', u'audi', u'disappoint', u'new', u'style', u'always', u'want', u'previous', u'audi', u'see', u'look', u'personally', u'hate', u'maybe', u'chrysler', u'could', u'come', u'grip', u'find', u'audi', u'felt', u'slow', u'react', u'whereas', u'jag', u'better', u'reflexes', u'also', u'felt', u'smaller', u'think', u'unfair', u'untrue', u'say', u'ford', u'thing', u'think', u'address', u'whether', u'people', u'choose', u'beleive', u'speed', u'poor', u'word', u'really', u'enjoy', u'automatic', u'far', u'one', u'jaguar', u'much', u'much', u'better', u'transmission', u'particularly', u'enamor', u'clutch', u'steer', u'imo', u'better', u'almost', u'could', u'justify', u'price', u'difference', u'certain', u'car', u'try', u'make', u'impression', u'hot', u'say', u'losers', u'segment', u'think', u'safe', u'say', u'none', u'us', u'would', u'go', u'winner', u'comparo', u'eaweg', u'jagxboytype']"
